model,k,ratio,resample_type,accuracy,precision,recall,f1,roc_auc
KNN,5,0.1,down,0.9841736561103723,0.018674001158077592,0.06013986013986014,0.02849884016348172,0.6517034730104709
KNN,7,0.1,down,0.9899391598991577,0.022185246810870772,0.037296037296037296,0.027821248478525473,0.6759848254726989
KNN,3,0.1,down,0.9714747921161594,0.014727749061814063,0.09696969696969697,0.025571674452913695,0.6184390624339032
KNN,7,0.1,up,0.97897858450044,0.013468013468013467,0.06153846153846154,0.022099447513812154,0.5333745914017025
KNN,7,1.0,up,0.97897858450044,0.013468013468013467,0.06153846153846154,0.022099447513812154,0.5333744600240137
KNN,7,0.5,up,0.97897858450044,0.013468013468013467,0.06153846153846154,0.022099447513812154,0.5333744600240137
KNN,5,0.1,up,0.9831299631648369,0.013851533082302313,0.04801864801864802,0.021500887172528963,0.5256242947765671
KNN,5,1.0,up,0.9831299631648369,0.013851533082302313,0.04801864801864802,0.021500887172528963,0.5256242947765671
KNN,5,0.5,up,0.9831299631648369,0.013851533082302313,0.04801864801864802,0.021500887172528963,0.5256242947765671
KNN,7,0.5,down,0.8586137958212694,0.010591700819672131,0.38554778554778557,0.02061701464630726,0.7210669711833061
KNN,3,1.0,up,0.987497278300724,0.014554275318374773,0.033566433566433566,0.02030456852791878,0.5174179651393177
KNN,3,0.5,up,0.987497278300724,0.014554275318374773,0.033566433566433566,0.02030456852791878,0.5174179651393177
KNN,3,0.1,up,0.987497278300724,0.014554275318374773,0.033566433566433566,0.02030456852791878,0.5174179651393177
KNN,5,0.5,down,0.841788745751,0.009728160223141819,0.3967365967365967,0.018990660879461746,0.7087597442558116
KNN,3,0.5,down,0.8178791799452602,0.009428823278893104,0.4438228438228438,0.018465358057258126,0.682023065323943
KNN,7,1.0,down,0.6761564747651241,0.0076801683324566015,0.6466200466200466,0.015180037211338513,0.7173283520808873
KNN,5,1.0,down,0.6715462310988107,0.007459793026240341,0.6368298368298368,0.014746842275720609,0.7074446396947092
KNN,3,1.0,down,0.6656223738975994,0.0074073279445603605,0.6438228438228438,0.014646148625001326,0.6886836977123009
KNN,3,,down,0.9957802414529645,0.02830188679245283,0.002797202797202797,0.005091217649554518,0.5173955896661443
KNN,3,,up,0.9957802414529645,0.02830188679245283,0.002797202797202797,0.005091217649554518,0.5173955896661443
KNN,5,,up,0.9961113440425827,0.05555555555555555,0.0004662004662004662,0.0009246417013407304,0.5255858255365096
KNN,5,,down,0.9961113440425827,0.05555555555555555,0.0004662004662004662,0.0009246417013407304,0.5255858255365096
KNN,7,,down,0.9961365366309232,0.0,0.0,0.0,0.5333466976445151
KNN,7,,up,0.9961365366309232,0.0,0.0,0.0,0.5333466976445151
