model,ratio,resample_type,accuracy,precision,recall,f1
GaussianNB,,up,0.855801223280111,0.018164069740142594,0.6853146853146853,0.03539013409731083
GaussianNB,,down,0.855801223280111,0.018164069740142594,0.6853146853146853,0.03539013409731083
GaussianNB,0.05,up,0.7602817251164707,0.011406759063900217,0.7132867132867133,0.022454430714138954
GaussianNB,0.05,down,0.7599704167034058,0.01139206576125804,0.7132867132867133,0.02242596134819603
GaussianNB,0.1,up,0.7479553515355782,0.010852526226938383,0.7132867132867133,0.021379763285496695
GaussianNB,0.1,down,0.7474047135332785,0.01082902177836602,0.7132867132867133,0.021334151374867532
GaussianNB,0.2,down,0.7164214288156424,0.009652692344090092,0.7132867132867133,0.01904761904761905
GaussianNB,0.2,up,0.7155864744592141,0.009624517987783781,0.7132867132867133,0.018992762888389587
GaussianNB,0.3,up,0.680235874605691,0.008565957875642446,0.7132867132867133,0.016928617662191094
GaussianNB,0.3,down,0.6761114880002304,0.00845743093098073,0.7132867132867133,0.01671665273612272
GaussianNB,0.5,up,0.6180983554638225,0.007182836258544573,0.7137529137529137,0.01422254426546272
GaussianNB,0.5,down,0.6127791203827834,0.007084584665645549,0.7137529137529137,0.014029910927018805
GaussianNB,1.0,down,0.5456660650436641,0.006100327902489455,0.7207459207459207,0.012098257256215422
GaussianNB,1.0,up,0.5402874474329652,0.006075447859554987,0.7263403263403263,0.012050103060091962
