model,ratio,resample_type,accuracy,precision,recall,f1,roc_auc
DTC_Gini_Full,0.1,df_down,0.9914777072585246,0.30029289347926624,0.9081585081585082,0.45134383688600554,0.9499795311876442
DTC_Entropy_Full,0.1,df_down,0.991972561672356,0.312984496124031,0.9034965034965035,0.4649154372076286,0.9479059470157318
DTC_Gini_Depth_10,0.1,df_down,0.9945476040948753,0.4074848421492787,0.9086247086247087,0.5626443418013857,0.9888150151863766
DTC_Gini_Full,0.5,df_down,0.9789803839710357,0.14941176470588236,0.9473193473193473,0.2581136868847253,0.9632112060654586
DTC_Entropy_Full,0.5,df_down,0.9768804017857946,0.13794736486029363,0.9505827505827505,0.24093111189885383,0.9637825255260322
DTC_Gini_Depth_10,0.5,df_down,0.9830651822233899,0.17968612237700582,0.9501165501165502,0.30221694965522355,0.9821129668237734
DTC_Gini_Full,1.0,df_down,0.9702547510522405,0.11136326795266656,0.9608391608391609,0.19959325973271355,0.9655651978076804
DTC_Entropy_Full,1.0,df_down,0.9699110521684521,0.11022569258744251,0.9608391608391609,0.19776423739384924,0.9653926824800095
DTC_Gini_Depth_10,1.0,df_down,0.9720668179421614,0.1181641739924649,0.965034965034965,0.21054772923765447,0.98335706848137
